---------------------------------------茶叶-----------------------------------------
高淳县庙岗茶叶专业合作社    18751836554    刘为民 
南京淳雾茶叶专业合作社    13222085377    严爱春 
南京市溧水区茶叶实验场    025-57250118    曹成清 
江苏龙源凤栖茶叶有限公司    025-52346220    朱艾娟 
南京溧水浮山茶叶专业合作社    025-57458130    张苏明 
南京赭洛山茶叶专业合作社    025-58271199    滕之路 
南京溧水一壶春茶叶有限公司    025-57430847    陈培绕 
南京茶叶公司    025-86623762    董方 
南京市溧水区和平茶叶专业合作社    13851561628    张素萍 
南京市溧水区白马湖茶叶专业合作社    025-57250079    董国新 
南京市溧水区吕新英茶叶专业合作社    18914770986    吕新英 
南京溧水剑云茶叶专业合作社    18951078966    邰习美 
南京溧水一心茶叶专业合作社    15996393385    马福生 
南京溧水段家山茶叶专业合作社    13813075733    唐伟 
南京龙佛茶叶专业合作联社    15077881811    董先金 
南京极目茶叶有限公司    025-57609301    王荣 
南京紫金山茶叶有限公司    13851808588    凌威武 
南京平山茶叶有限公司    025-57116629    耿克荣 
高淳县淳青茶叶专业合作社    18013366988    刘长青 
南京荷叶山茶叶有限公司    13851523758    陈鸿文 
南京溧水傅家边梅岭茶叶专业合作社    025-68811501    王方君 
溧水秀芳茶叶专业合作社    025-57221373    严俊 
南京杜羽茶叶专业合作社    025-68818803    李松 
南京茗睿茶叶专业合作联社    025-58218158    唐光尧 
南京聚祥春茶叶有限公司    15951080949    胡小海 
南京六平茶叶有限公司    025-57182222    强伟 
南京金家港茶叶有限公司    13951655315    陈俞山 
南京品味香茶叶有限公司    15189836667    林清水 
南京严氏茶叶有限公司    025-57412366    严军 
南京西山茶叶有限公司    13912958063    陈世福 
南京端木茶叶有限公司    15295732150    张智勋 
南京志德茶叶专业合作社    17826082838    王冰倩 
南京溧水力梅茶叶专业合作社    025-7422251    吴明 
南京天华茶叶有限公司    025-52257211    张志华 
南京乌山寺茶叶有限公司    025-57118348    高同鑫 
南京红天茶叶有限公司    13851822158    王桂云 
南京银林春茶叶专业合作联社    13851596230    张明生 
南京茶棚茶叶专业合作社    18913369219    檀紫铜 
南京明景茶叶专业合作社    18168081973    左光银 
南京市溧水区银洲茶叶专业合作社    15951027142    史荣刚 
南京江南春茶叶有限公司    13601582830    查洁 
南京城雾茶叶专业合作社    025-84150559    许峰 
溧水国色天香茶叶专业合作社    18952036588    陈斌 
南京沃的茶茶叶有限公司    13451868989    苏敬忠 
南京金牛湖茶叶有限公司    18915903615    李子山 
溧水县严福娣茶叶专业合作社    18912930789    严福娣 
南京舒心茶叶专业合作社    13032550098    冯梦麟 
南京联农茶叶专业合作社    13951991295    佴永成 
南京贵美茶叶有限公司    13814093113    练祖贵 
南京英子茶叶专业合作社    18068810178    高承华 
溧水徐辉茶叶专业合作社    13951979788    徐辉 
南京福乐茶叶专业合作社    13814160110    张可珍 
南京风坡茶叶有限公司    13813044898    周治明 
南京西埠茶叶种植农地股份专业合作社    15062232678    孙忠林 
南京天池茶叶专业合作社    13951648700    葛才干 
南京碧源茶叶专业合作社    15051830237    张敬友 
南京溧水百信茶叶专业合作社    13913366032    付诗诗 
南京杨子山茶叶专业合作社    025-86140852    李达才 
南京绿园茶叶专业合作社    025-84189383    阮家平 
南京树叶宝宝茶叶有限公司    13913920833    汪良 
南京天博茶叶有限公司    13859391555    余候华 
南京双茗茶叶有限公司    13814052858    谢国旗 
南京鹤峰茶叶专业合作社    13585112268    周大海 
高淳县五星茶叶专业合作社    13851598678    史忠国 
南京山景茶叶专业合作社    13621585969    孙维忠 
南京博之众茶叶有限公司    15951850778    杨永周 
南京鹰山茶叶专业合作社    13952014153    夏正喜 
南京永清茶叶专业合作社    025-86159359    柯永清 
南京绿硕茶叶专业合作社    13905171926    孙玉龙 
南京溧水山河茶叶专业合作社    13851841998    徐立产 
南京市江宁区周郎茶叶土地专业合作社    025-84150349    王平 
南京陶华茶叶专业合作社    18013316222    陶广华 
南京龙霸茶叶专业合作社    025-58889108    孔弢 
溧水芳山茶叶专业合作社    13151571888    刘福喜 
南京天朗茶叶有限公司    18931297170    王亚楠 
南京茵福茶叶有限公司    15850523046    张坤 
南京雅洁茶叶专业合作社    13951911901    刘铭 
南京双宏茶叶专业合作社    13851902377    雷茂红 
南京智泉茶叶有限公司    13851498824    俞月泉 
南京长天茶叶有限公司    13905191169    陈桂林 
南京市江宁区龙毫茶叶专业合作社    13776558615    周明 
南京市六合区沁泉茶叶专业合作社    13218087282    周晓敏 
南京市江宁区芦林茶叶专业合作社    025-86120922    徐文宝 
南京市江宁区双岗茶叶专业合作社    13851961660    朱全 
南京市江宁区刘记茶叶有限责任公司    13952016119    刘谈喜 
高淳县漆桥镇和平茶叶专业合作社    18260083506    徐孝华 
南京市江宁区曹村茶叶专业合作社    025-86190018    周向阳 
南京皖飞商贸有限公司解放路茶叶店    025-84588322    翟光平 
南京市溧水区兴宝茶叶种植专业合作社    025-57430958    周兴宝 
南京市浦口区林雾茶叶专业合作社    025-58111840    谭为静 
